,precision,recall,f1-score,support
3.00 - 3.25 (৩.০০ - ৩.২৫),0.5194805194805194,0.40816326530612246,0.45714285714285713,98.0
3.25 - 3.50 (৩.২৫ - ৩.৫০),0.507537688442211,0.6824324324324325,0.5821325648414986,148.0
3.50 - 3.75 (৩.৫০ - ৩.৭৫),0.5954198473282443,0.6341463414634146,0.6141732283464567,123.0
Above 3.75 (৩.৭৫ এর উপরে),0.7848101265822784,0.6966292134831461,0.7380952380952381,89.0
Less than 3.00 (৩.০০ এর কম),0.8333333333333334,0.5,0.625,70.0
accuracy,0.5984848484848485,0.5984848484848485,0.5984848484848485,0.5984848484848485
macro avg,0.6481163030333174,0.5842742505370231,0.6033087776852101,528.0
weighted avg,0.6201567132936899,0.5984848484848485,0.598370081200061,528.0
